what,kind,bundleId,bundleVersion,description,time
stopped,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500179677
unresolved,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500179677
resolved,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500179726
installed,bundle,PML.editor,1.0.0.qualifier,"PML.editor",1338500179733
resolved,bundle,PML.editor,1.0.0.qualifier,"PML.editor",1338500179862
installed,bundle,generator,1.0.0.qualifier,"generator",1338500179867
resolved,bundle,generator,1.0.0.qualifier,"generator",1338500179937
started,bundle,PML.editor,1.0.0.qualifier,"PML.editor",1338500179941
started,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500179942
stopped,bundle,generator,1.0.0.qualifier,"generator",1338500179944
started,bundle,PML,1.0.0.qualifier,"PML",1338500179986
started,bundle,GeneratorPML,1.0.0.qualifier,"GeneratorPML",1338500179989
error,log,,,"'/GeneratorPML/common/generator.emtl' not found",1338500180098
stopped,bundle,PML.editor,1.0.0.qualifier,"PML.editor",1338500180105
unresolved,bundle,PML.editor,1.0.0.qualifier,"PML.editor",1338500180105
uninstalled,bundle,PML.editor,1.0.0.qualifier,"PML.editor",1338500180106
stopped,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500180189
unresolved,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500180193
uninstalled,bundle,PML.edit,1.0.0.qualifier,"PML.edit",1338500180193
unresolved,bundle,generator,1.0.0.qualifier,"generator",1338500180276
uninstalled,bundle,generator,1.0.0.qualifier,"generator",1338500180276
stopped,bundle,PML,1.0.0.qualifier,"PML",1338500180356
unresolved,bundle,PML,1.0.0.qualifier,"PML",1338500180356
uninstalled,bundle,PML,1.0.0.qualifier,"PML",1338500180356
stopped,bundle,GeneratorPML,1.0.0.qualifier,"GeneratorPML",1338500180427
unresolved,bundle,GeneratorPML,1.0.0.qualifier,"GeneratorPML",1338500180428
uninstalled,bundle,GeneratorPML,1.0.0.qualifier,"GeneratorPML",1338500180429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338500185079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338500198248
opened,editor,org.eclipse.acceleo.ide.ui,3.2.0.v20111027-0537,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1338500200948
activated,editor,org.eclipse.acceleo.ide.ui,3.2.0.v20111027-0537,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1338500201001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338500241065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1338500249771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338500360283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338501905508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338501906311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338501907481
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338501907865
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1338501908885
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.1.v20110912-0930,"org.eclipse.emf.eef.codegen.ecore",1338501908912
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.1.v20110912-0930,"org.eclipse.emf.eef.codegen",1338501908913
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1338501908914
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1338501908915
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1338501908916
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1338501908917
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1338501908918
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1338501908919
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.200.v20110510-2359,"org.eclipse.gmf.codegen.ui",1338501908920
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1338501908920
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1338501908921
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1338501908922
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1338501908922
stopped,bundle,org.eclipse.emf.compare.ui,1.2.1.v20110913-0926,"org.eclipse.emf.compare.ui",1338501908922
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1338501908923
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1338501908924
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1338501908925
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1338501908926
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1338501908927
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.2.0.v20111027-0537,"org.eclipse.acceleo.compatibility.ui",1338501908928
stopped,bundle,org.eclipse.acceleo.ide.ui,3.2.0.v20111027-0537,"org.eclipse.acceleo.ide.ui",1338501908928
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1338501908928
stopped,bundle,org.eclipse.acceleo.examples,3.2.0.v20111027-0537,"org.eclipse.acceleo.examples",1338501908928
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20110607-2359,"org.eclipse.gmf.bridge.ui.dashboard",1338501908929
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20110607-2359,"org.eclipse.gmf.doc.ui",1338501908929
stopped,bundle,org.eclipse.gmf.bridge.ui,1.3.0.v20110510-2359,"org.eclipse.gmf.bridge.ui",1338501908931
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.200.v200912151755,"org.eclipse.gmf.bridge.trace",1338501908932
stopped,bundle,org.eclipse.gmf.bridge,1.1.100.v20110510-2359,"org.eclipse.gmf.bridge",1338501908933
stopped,bundle,org.eclipse.gmf.codegen.edit,2.2.100.v20110510-2359,"org.eclipse.gmf.codegen.edit",1338501908936
stopped,bundle,org.eclipse.gmf.codegen,2.2.200.v20110606-2359,"org.eclipse.gmf.codegen",1338501908937
stopped,bundle,org.eclipse.gmf.graphdef.codegen,2.0.101.v20110601-2359,"org.eclipse.gmf.graphdef.codegen",1338501908938
stopped,bundle,org.eclipse.gmf.map.edit,2.2.100.v20110510-2359,"org.eclipse.gmf.map.edit",1338501908940
stopped,bundle,org.eclipse.gmf.graphdef.edit,2.0.200.v20110510-2359,"org.eclipse.gmf.graphdef.edit",1338501908944
stopped,bundle,org.eclipse.gmf.map,2.2.101.v20110510-2359,"org.eclipse.gmf.map",1338501908945
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.100.v20110510-2359,"org.eclipse.gmf.tooldef.edit",1338501908947
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20110510-2359,"org.eclipse.gmf.tooldef",1338501908948
stopped,bundle,org.eclipse.gmf.common,1.2.0.v20110510-2359,"org.eclipse.gmf.common",1338501908950
